"social_network","usage","value","max","share"
"","Публічні.обговорення.регуляторних.актів",3,3,100
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",2,3,67
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",3,3,100
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",2,3,67
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",2,3,67
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",3,3,100
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",2,3,67
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",2,3,67
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",3,3,100
"","Публічні.обговорення.регуляторних.актів",3,3,100
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",2,3,67
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",2,3,67
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",2,3,67
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",1,3,33
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Публічні.обговорення.регуляторних.актів",0,3,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0.5,1,50
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0.5,1,50
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
