"social_network","usage","value","max","share"
"Івано-Франківськ","Загальний бал",15,15,100
"Київ","Загальний бал",12.7,15,85
"Вінниця","Загальний бал",12,15,80
"Львів","Загальний бал",10.75,15,72
"Біла Церква","Загальний бал",10.7,15,71
"Одеса","Загальний бал",10.5,15,70
"Дружківка","Загальний бал",10.5,15,70
"Бердянськ","Загальний бал",10.2,15,68
"Серєродонецьк","Загальний бал",9.75,15,65
"Суми","Загальний бал",9.75,15,65
"Володимир Волинський","Загальний бал",9.7,15,65
"Рівне","Загальний бал",9.25,15,62
"Ізмаїл","Загальний бал",9.2,15,61
"Запоріжжя","Загальний бал",9,15,60
"Кам'янське","Загальний бал",9,15,60
"Дрогобич","Загальний бал",8.7,15,58
"Коростень","Загальний бал",8.7,15,58
"Тернопіль","Загальний бал",8.7,15,58
"Краматорськ","Загальний бал",8.7,15,58
"Коломия","Загальний бал",8.5,15,57
"Житомир","Загальний бал",8.2,15,55
"Калуш","Загальний бал",8.2,15,55
"Луцьк","Загальний бал",8.2,15,55
"Нікополь","Загальний бал",8,15,53
"Ужгород","Загальний бал",7.95,15,53
"Бахмут","Загальний бал",7.7,15,51
"Дніпро","Загальний бал",7.7,15,51
"Енергодар","Загальний бал",7.5,15,50
"Кропивницький","Загальний бал",7.5,15,50
"Чернігів","Загальний бал",7.5,15,50
"Ромни","Загальний бал",7.5,15,50
"Бориспіль","Загальний бал",7.2,15,48
"Миргород","Загальний бал",7.2,15,48
"Маріуполь","Загальний бал",6.75,15,45
"Первомайськ","Загальний бал",6.75,15,45
"Кам'янець-Подільський","Загальний бал",6.7,15,45
"Ковель","Загальний бал",6.5,15,43
"Олександрія","Загальний бал",6.5,15,43
"Ніжин","Загальний бал",6.5,15,43
"Лубни","Загальний бал",6.5,15,43
"Охтирка","Загальний бал",6.5,15,43
"Хмельницький","Загальний бал",6.25,15,42
"Бровари","Загальний бал",6.2,15,41
"Жмеринка","Загальний бал",6,15,40
"Миколаїв","Загальний бал",6,15,40
"Лисичанськ","Загальний бал",6,15,40
"Слов'янськ","Загальний бал",6,15,40
"Білгород Дністровський","Загальний бал",5.7,15,38
"Дубно","Загальний бал",5.7,15,38
"Мелітополь","Загальний бал",5.7,15,38
"Шепетівка","Загальний бал",5.5,15,37
"Чернівці","Загальний бал",5.45,15,36
"Херсон","Загальний бал",5.2,15,35
"Лиман","Загальний бал",5.2,15,35
"Лозова","Загальний бал",5.2,15,35
"Каховка","Загальний бал",5,15,33
