"city","usage","value","max","share","lat","lon","district"
"Івано-Франківськ","Публічні обговорення регуляторних актів",3,3,100,48.922633,24.711117,"yes"
"Київ","Публічні обговорення регуляторних актів",1,3,33,50.4501,30.5234,"yes"
"Вінниця","Публічні обговорення регуляторних актів",2,3,67,49.233083,28.4682169,"yes"
"Львів","Публічні обговорення регуляторних актів",0,3,0,49.839683,24.029717,"yes"
"Біла Церква","Публічні обговорення регуляторних актів",3,3,100,49.7967977,30.1310853,"no"
"Одеса","Публічні обговорення регуляторних актів",0,3,0,46.482526,30.7233095,"yes"
"Дружківка","Публічні обговорення регуляторних актів",0,3,0,48.6161912,37.5272187,"no"
"Бердянськ","Публічні обговорення регуляторних актів",2,3,67,46.7737707,36.8034779,"no"
"Серєродонецьк","Публічні обговорення регуляторних актів",0,3,0,48.9481767,38.4878774,"no"
"Суми","Публічні обговорення регуляторних актів",0,3,0,50.9077,34.7981,"yes"
"Володимир Волинський","Публічні обговорення регуляторних актів",2,3,67,50.8481952,24.3256569,"no"
"Рівне","Публічні обговорення регуляторних актів",0,3,0,50.6199,26.251617,"yes"
"Ізмаїл","Публічні обговорення регуляторних актів",0,3,0,45.3501944,28.8501919,"no"
"Запоріжжя","Публічні обговорення регуляторних актів",1,3,33,47.8388,35.139567,"yes"
"Кам'янське","Публічні обговорення регуляторних актів",3,3,100,48.523117,34.613683,"no"
"Дрогобич","Публічні обговорення регуляторних актів",0,3,0,49.3580116,23.5123193,"no"
"Коростень","Публічні обговорення регуляторних актів",2,3,67,50.9532135,28.6457544,"no"
"Тернопіль","Публічні обговорення регуляторних актів",0,3,0,49.553517,25.594767,"yes"
"Краматорськ","Публічні обговорення регуляторних актів",2,3,67,48.738967,37.58435,"no"
"Коломия","Публічні обговорення регуляторних актів",1,3,33,48.5304917,25.0412055,"no"
"Житомир","Публічні обговорення регуляторних актів",3,3,100,50.25465,28.6586669,"yes"
"Калуш","Публічні обговорення регуляторних актів",3,3,100,49.0414259,24.3950384,"no"
"Луцьк","Публічні обговорення регуляторних актів",0,3,0,50.747233,25.325383,"yes"
"Нікополь","Публічні обговорення регуляторних актів",0,3,0,47.56746,34.394815,"no"
"Ужгород","Публічні обговорення регуляторних актів",0,3,0,48.6208,22.287883,"yes"
"Бахмут","Публічні обговорення регуляторних актів",1,3,33,48.5986674,37.9980367,"no"
"Дніпро","Публічні обговорення регуляторних актів",2,3,67,48.464717,35.046183,"yes"
"Енергодар","Публічні обговорення регуляторних актів",1,3,33,47.5015067,34.6341859,"no"
"Кропивницький","Публічні обговорення регуляторних актів",0,3,0,48.507933,32.262317,"yes"
"Чернігів","Публічні обговорення регуляторних актів",0,3,0,51.4982,31.2893499,"yes"
"Ромни","Публічні обговорення регуляторних актів",0,3,0,50.7415087,33.4809526,"no"
"Бориспіль","Публічні обговорення регуляторних актів",0,3,0,50.3482,30.95615,"no"
"Миргород","Публічні обговорення регуляторних актів",0,3,0,49.9627279,33.6053332,"no"
"Маріуполь","Публічні обговорення регуляторних актів",0,3,0,47.097133,37.543367,"no"
"Первомайськ","Публічні обговорення регуляторних актів",0,3,0,48.0451251,30.8884315,"no"
"Кам'янець-Подільський","Публічні обговорення регуляторних актів",1,3,33,48.6967162,26.5825364,"no"
"Ковель","Публічні обговорення регуляторних актів",1,3,33,51.209018,24.6980251,"no"
"Олександрія","Публічні обговорення регуляторних актів",0,3,0,48.6632704,33.0967875,"no"
"Ніжин","Публічні обговорення регуляторних актів",0,3,0,51.0377956,31.8880994,"no"
"Лубни","Публічні обговорення регуляторних актів",0,3,0,50.0173168,32.9908442,"no"
"Охтирка","Публічні обговорення регуляторних актів",2,3,67,50.3150962,34.9005644,"no"
"Хмельницький","Публічні обговорення регуляторних актів",0,3,0,49.422983,26.9871331,"yes"
"Бровари","Публічні обговорення регуляторних актів",1,3,33,50.511083,30.7909,"no"
"Жмеринка","Публічні обговорення регуляторних актів",1,3,33,49.0390512,28.1085937,"no"
"Миколаїв","Публічні обговорення регуляторних актів",0,3,0,46.975033,31.9945829,"yes"
"Лисичанськ","Публічні обговорення регуляторних актів",1,3,33,48.9066145,38.4433606,"no"
"Слов'янськ","Публічні обговорення регуляторних актів",0,3,0,48.8532,37.6053001,"no"
"Білгород Дністровський","Публічні обговорення регуляторних актів",1,3,33,46.1854516,30.3414908,"no"
"Дубно","Публічні обговорення регуляторних актів",0,3,0,50.4009139,25.7590674,"no"
"Мелітополь","Публічні обговорення регуляторних актів",0,3,0,46.8550216,35.3586996,"no"
"Шепетівка","Публічні обговорення регуляторних актів",2,3,67,50.1757487,27.0559924,"no"
"Чернівці","Публічні обговорення регуляторних актів",0,3,0,48.2920787,25.9358367,"yes"
"Херсон","Публічні обговорення регуляторних актів",1,3,33,46.635417,32.616867,"yes"
"Лиман","Публічні обговорення регуляторних актів",0,3,0,48.9897585,37.8049964,"no"
"Лозова","Публічні обговорення регуляторних актів",0,3,0,48.8902362,36.308001,"no"
"Каховка","Публічні обговорення регуляторних актів",0,3,0,46.8117208,33.4901963,"no"
"Мукачево","Публічні обговорення регуляторних актів",0,3,0,48.4493055,22.7117106,"no"
"Кременчук","Публічні обговорення регуляторних актів",0,3,0,49.065783,33.410033,"no"
"Южноукраїнськ","Публічні обговорення регуляторних актів",0,3,0,47.8227621,31.1840826,"no"
"Покров","Публічні обговорення регуляторних актів",0,3,0,47.6572805,34.07859,"no"
"Рубіжне","Публічні обговорення регуляторних актів",0,3,0,49.0161213,38.3751403,"no"
"Фастів","Публічні обговорення регуляторних актів",0,3,0,50.0637682,29.9049684,"no"
"Сміла","Публічні обговорення регуляторних актів",0,3,0,49.227717,31.8522329,"no"
"Світловодськ","Публічні обговорення регуляторних актів",0,3,0,49.0496835,33.2284693,"no"
"Нетішин","Публічні обговорення регуляторних актів",0,3,0,50.3339731,26.6500845,"no"
"Подільськ","Публічні обговорення регуляторних актів",0,3,0,47.7585809,29.5339155,"no"
